MODELS_EMITTER_CONSTRUCTOR_DEBUG: Parsed schemas count: 1959
  SchemaKeyInConstructor: AgentListResponse, Name: AgentListResponse, Type: object
  SchemaKeyInConstructor: ChatId, Name: ChatId, Type: string
  SchemaKeyInConstructor: ChatTenantId, Name: ChatTenantId, Type: string
  SchemaKeyInConstructor: ChatAgentId, Name: ChatAgentId, Type: string
  SchemaKeyInConstructor: ChatInfo, Name: ChatInfo, Type: object
  SchemaKeyInConstructor: ChatCreatedAt, Name: ChatCreatedAt, Type: object
  SchemaKeyInConstructor: ChatUpdatedAt, Name: ChatUpdatedAt, Type: object
  SchemaKeyInConstructor: ChatTokens, Name: ChatTokens, Type: object
  SchemaKeyInConstructor: Chat, Name: Chat, Type: object
  SchemaKeyInConstructor: ChatResponse, Name: ChatResponse, Type: object
  SchemaKeyInConstructor: ChatListResponseData, Name: ChatListResponseData, Type: array
  SchemaKeyInConstructor: ChatListResponse, Name: ChatListResponse, Type: object
  SchemaKeyInConstructor: DataSourceType, Name: DataSourceType, Type: string
  SchemaKeyInConstructor: DataSourceIntervalType, Name: DataSourceIntervalType, Type: string
  SchemaKeyInConstructor: DataSourceId, Name: DataSourceId, Type: string
  SchemaKeyInConstructor: DataSourceName, Name: DataSourceName, Type: string
  SchemaKeyInConstructor: DataSourceDescription, Name: DataSourceDescription, Type: string
  SchemaKeyInConstructor: DataSourceTenantId, Name: DataSourceTenantId, Type: string
  SchemaKeyInConstructor: DataSourceVectorDatabaseId, Name: DataSourceVectorDatabaseId, Type: string
  SchemaKeyInConstructor: DataSourceVectorIndexId, Name: DataSourceVectorIndexId, Type: string
  SchemaKeyInConstructor: DataSourceEmbedModelId, Name: DataSourceEmbedModelId, Type: string
  SchemaKeyInConstructor: DataSourceIntervalValue, Name: DataSourceIntervalValue, Type: number
  SchemaKeyInConstructor: DataSourceTargetUrlsItem, Name: DataSourceTargetUrlsItem, Type: string
  SchemaKeyInConstructor: DataSourceTargetUrls, Name: DataSourceTargetUrls, Type: array
  SchemaKeyInConstructor: DataSourceConfig, Name: DataSourceConfig, Type: object
  SchemaKeyInConstructor: DataSourceCreatedAt, Name: DataSourceCreatedAt, Type: object
  SchemaKeyInConstructor: DataSourceUpdatedAt, Name: DataSourceUpdatedAt, Type: object
  SchemaKeyInConstructor: DataSource, Name: DataSource, Type: object
  SchemaKeyInConstructor: DataSourceResponse, Name: DataSourceResponse, Type: object
  SchemaKeyInConstructor: DataSourceListResponseData, Name: DataSourceListResponseData, Type: array
  SchemaKeyInConstructor: DataSourceListResponse, Name: DataSourceListResponse, Type: object
  SchemaKeyInConstructor: DocumentStatus, Name: DocumentStatus, Type: string
  SchemaKeyInConstructor: DocumentType, Name: DocumentType, Type: string
  SchemaKeyInConstructor: DocumentId, Name: DocumentId, Type: string
  SchemaKeyInConstructor: DocumentDataSourceId, Name: DocumentDataSourceId, Type: string
  SchemaKeyInConstructor: DocumentUrl, Name: DocumentUrl, Type: string
  SchemaKeyInConstructor: DocumentMimeType, Name: DocumentMimeType, Type: string
  SchemaKeyInConstructor: DocumentSize, Name: DocumentSize, Type: number
  SchemaKeyInConstructor: DocumentBinary, Name: DocumentBinary, Type: object
  SchemaKeyInConstructor: DocumentMarkdown, Name: DocumentMarkdown, Type: string
  SchemaKeyInConstructor: DocumentHtml, Name: DocumentHtml, Type: string
  SchemaKeyInConstructor: DocumentHash, Name: DocumentHash, Type: string
  SchemaKeyInConstructor: DocumentLastModified, Name: DocumentLastModified, Type: string
  SchemaKeyInConstructor: DocumentEtag, Name: DocumentEtag, Type: string
  SchemaKeyInConstructor: DocumentTokens, Name: DocumentTokens, Type: number
  SchemaKeyInConstructor: DocumentMetadata, Name: DocumentMetadata, Type: object
  SchemaKeyInConstructor: DocumentCreatedAt, Name: DocumentCreatedAt, Type: object
  SchemaKeyInConstructor: DocumentUpdatedAt, Name: DocumentUpdatedAt, Type: object
  SchemaKeyInConstructor: Document, Name: Document, Type: object
  SchemaKeyInConstructor: DocumentResponse, Name: DocumentResponse, Type: object
  SchemaKeyInConstructor: DocumentListResponseData, Name: DocumentListResponseData, Type: array
  SchemaKeyInConstructor: DocumentListResponse, Name: DocumentListResponse, Type: object
  SchemaKeyInConstructor: EmbeddingVendor, Name: EmbeddingVendor, Type: string
  SchemaKeyInConstructor: EmbeddingId, Name: EmbeddingId, Type: string
  SchemaKeyInConstructor: EmbeddingName, Name: EmbeddingName, Type: string
  SchemaKeyInConstructor: EmbeddingInternalName, Name: EmbeddingInternalName, Type: string
  SchemaKeyInConstructor: EmbeddingDimension, Name: EmbeddingDimension, Type: number
  SchemaKeyInConstructor: EmbeddingDescription, Name: EmbeddingDescription, Type: string
  SchemaKeyInConstructor: EmbeddingConfig, Name: EmbeddingConfig, Type: object
  SchemaKeyInConstructor: EmbeddingCreatedAt, Name: EmbeddingCreatedAt, Type: object
  SchemaKeyInConstructor: EmbeddingUpdatedAt, Name: EmbeddingUpdatedAt, Type: object
  SchemaKeyInConstructor: Embedding, Name: Embedding, Type: object
  SchemaKeyInConstructor: EmbeddingResponse, Name: EmbeddingResponse, Type: object
  SchemaKeyInConstructor: EmbeddingListResponseData, Name: EmbeddingListResponseData, Type: array
  SchemaKeyInConstructor: EmbeddingListResponse, Name: EmbeddingListResponse, Type: object
  SchemaKeyInConstructor: FoundationModelType, Name: FoundationModelType, Type: string
  SchemaKeyInConstructor: FoundationModelVendor, Name: FoundationModelVendor, Type: string
  SchemaKeyInConstructor: FoundationModelId, Name: FoundationModelId, Type: string
  SchemaKeyInConstructor: FoundationModelAlias, Name: FoundationModelAlias, Type: string
  SchemaKeyInConstructor: FoundationModelName, Name: FoundationModelName, Type: string
  SchemaKeyInConstructor: FoundationModelInternalName, Name: FoundationModelInternalName, Type: string
  SchemaKeyInConstructor: FoundationModelDescription, Name: FoundationModelDescription, Type: string
  SchemaKeyInConstructor: FoundationModelContextWindow, Name: FoundationModelContextWindow, Type: number
  SchemaKeyInConstructor: FoundationModelMaxOutput, Name: FoundationModelMaxOutput, Type: number
  SchemaKeyInConstructor: FoundationModelConfig, Name: FoundationModelConfig, Type: object
  SchemaKeyInConstructor: FoundationModelCreatedAt, Name: FoundationModelCreatedAt, Type: object
  SchemaKeyInConstructor: FoundationModelUpdatedAt, Name: FoundationModelUpdatedAt, Type: object
  SchemaKeyInConstructor: FoundationModelKnowledgeCutOff, Name: FoundationModelKnowledgeCutOff, Type: string
  SchemaKeyInConstructor: FoundationModel, Name: FoundationModel, Type: object
  SchemaKeyInConstructor: FoundationModelResponse, Name: FoundationModelResponse, Type: object
